region_name,latitude,longitude,date,year,month,avg_temperature_c,rainfall_mm,humidity_percent,ndvi,water_body_index,population,mosquito_density,healthcare_access_score,poverty_index,climate_anomaly_score,malaria_cases,malaria_incidence_rate,outbreak_flag
Anambra,13.317,11.0519,2022-04-01,2022,4,24.66,150.91,90.79,0.665,0.406,841743,103.04,68.14,45.44,-0.64,496,58.93,0
Borno,6.2812,3.9967,2024-08-01,2024,8,23.57,256.01,86.34,0.534,0.395,2496609,110.46,88.69,32.99,1.42,466,18.67,0
Sokoto,5.196,8.4469,2022-12-01,2022,12,30.47,62.67,98.0,0.729,0.544,1634398,107.01,73.23,42.69,-0.45,432,26.43,0
Oyo,7.4962,6.0903,2019-12-01,2019,12,24.61,137.56,68.23,0.642,0.706,2159818,89.76,73.97,40.86,-0.94,478,22.13,0
Anambra,10.5546,10.3251,2019-11-01,2019,11,23.28,176.01,78.27,0.538,0.594,2770246,79.16,71.04,44.28,2.35,469,16.93,0
Plateau,5.9768,12.8534,2024-05-01,2024,5,35.9,71.16,77.98,0.396,0.216,2071900,122.29,62.86,40.76,-0.64,578,27.9,1
Enugu,11.876,5.0523,2020-04-01,2020,4,28.29,204.81,71.91,0.651,0.449,1553165,96.71,54.48,27.59,-0.76,633,40.76,1
Lagos,6.6402,5.6854,2022-03-01,2022,3,26.55,93.81,68.37,0.528,0.331,115318,100.17,47.66,6.62,-0.04,522,452.66,1
Enugu,6.7307,12.9909,2025-03-01,2025,3,26.28,102.11,86.43,0.663,0.658,2608231,125.28,46.36,52.12,-0.03,567,21.74,1
Lagos,7.1436,5.0517,2024-01-01,2024,1,28.3,97.46,75.09,0.495,0.63,2361987,123.98,41.66,42.13,0.93,556,23.54,1
Benue,11.2051,5.2998,2025-08-01,2025,8,33.62,156.77,57.89,0.568,0.7,1040198,122.59,62.29,20.26,-1.98,487,46.82,0
Cross River,11.6428,10.0623,2022-06-01,2022,6,28.68,193.92,77.93,0.443,0.873,2601503,116.45,67.11,44.9,-0.57,478,18.37,0
Cross River,11.0652,6.3887,2018-07-01,2018,7,29.9,462.23,80.4,0.325,0.498,1249386,138.45,66.2,6.27,-1.27,696,55.71,1
Lagos,6.2558,8.4911,2023-09-01,2023,9,32.44,156.8,74.88,0.579,0.621,2835147,112.01,54.77,54.46,-0.11,462,16.3,0
Anambra,7.1058,4.8644,2020-09-01,2020,9,30.13,134.63,66.16,0.573,0.512,1853649,114.16,42.86,62.66,-0.67,532,28.7,1
Anambra,6.9058,7.6176,2025-09-01,2025,9,29.97,54.15,69.44,0.531,0.188,699150,84.22,90.01,44.21,-0.8,372,53.21,0
Plateau,4.2989,3.4108,2022-10-01,2022,10,26.58,216.02,90.6,0.569,0.61,1710099,134.41,40.94,37.17,0.66,593,34.68,1
Cross River,5.3009,13.6649,2022-04-01,2022,4,24.08,35.81,67.67,0.463,0.473,150235,91.19,48.1,20.99,-0.5,319,212.33,0
Kebbi,5.7921,13.2808,2021-12-01,2021,12,28.81,345.23,91.55,0.481,0.517,1954050,123.99,51.11,40.25,2.81,598,30.6,1
Anambra,8.5538,10.1475,2020-09-01,2020,9,27.03,166.8,75.02,0.663,0.887,2699103,117.09,66.21,48.98,-0.9,521,19.3,1
Benue,9.6396,7.2699,2024-12-01,2024,12,26.15,328.21,73.48,0.638,0.556,1979305,106.22,50.66,62.7,-0.7,607,30.67,1
Oyo,12.5992,11.0858,2024-03-01,2024,3,26.11,196.52,82.47,0.642,0.496,120640,126.33,61.76,31.62,1.74,528,437.67,1
Akwa Ibom,12.845,8.5578,2020-06-01,2020,6,26.43,203.03,78.24,0.53,0.519,55486,106.92,68.93,67.47,3.21,589,1061.53,1
Oyo,13.5476,13.9552,2021-06-01,2021,6,33.44,157.4,83.89,0.624,0.511,1382397,129.29,60.9,36.33,0.31,615,44.49,1
Oyo,4.8314,13.853,2020-05-01,2020,5,23.66,55.23,68.36,0.754,0.093,498345,82.69,83.55,30.51,-2.81,230,46.15,0
Kebbi,11.2615,11.4391,2022-10-01,2022,10,29.66,184.01,69.6,0.337,0.331,263920,109.35,59.32,49.48,0.02,485,183.77,0
Rivers,9.1264,9.9234,2022-09-01,2022,9,26.7,297.7,83.72,0.578,0.938,210775,110.72,47.88,54.25,-1.56,591,280.39,1
Borno,7.5314,5.8594,2025-08-01,2025,8,26.52,125.05,92.28,0.326,0.371,172402,117.81,53.95,59.84,2.21,585,339.32,1
Kano,4.2584,7.1411,2018-05-01,2018,5,28.89,67.94,73.85,0.736,0.181,753286,117.36,51.01,50.19,0.45,545,72.35,1
Oyo,12.3265,5.7208,2024-02-01,2024,2,24.8,119.03,61.31,0.63,0.712,555950,117.48,83.12,51.65,-1.12,501,90.12,1
Benue,12.3514,9.071,2022-02-01,2022,2,31.08,139.79,81.45,0.755,0.307,2752757,129.96,70.29,49.06,0.07,651,23.65,1
Sokoto,4.8918,10.9904,2025-07-01,2025,7,21.91,309.77,77.2,0.267,0.694,1606617,105.68,69.69,44.71,1.19,454,28.26,0
Kano,8.8277,6.6163,2018-06-01,2018,6,24.09,178.65,63.99,0.623,0.649,1462290,88.64,55.64,54.36,0.02,507,34.67,1
Oyo,7.3818,6.8238,2018-05-01,2018,5,28.15,98.29,82.86,0.507,0.425,1311466,109.15,47.72,31.01,0.32,468,35.69,0
Lagos,11.3329,5.0297,2018-08-01,2018,8,26.36,62.37,59.85,0.755,0.829,2413917,101.25,56.26,62.34,0.71,537,22.25,1
Kaduna,5.0277,11.1115,2019-03-01,2019,3,28.78,59.8,75.75,0.419,0.359,1497960,97.35,42.1,66.11,0.98,517,34.51,1
Sokoto,9.751,11.1998,2025-02-01,2025,2,24.89,115.99,88.96,0.354,0.117,853692,99.14,74.12,54.93,-0.29,354,41.47,0
Kebbi,4.8613,11.8645,2024-03-01,2024,3,28.52,199.3,92.95,0.539,0.613,1439959,112.67,72.48,69.84,-0.13,647,44.93,1
Rivers,5.1254,9.7168,2018-12-01,2018,12,29.92,46.08,98.0,0.308,0.47,2736985,125.1,53.89,84.94,2.98,592,21.63,1
Rivers,5.3605,3.0298,2023-05-01,2023,5,27.78,71.22,72.87,0.574,0.59,1403649,108.97,69.66,52.42,-0.91,473,33.7,0
Enugu,12.2499,4.5375,2022-12-01,2022,12,26.22,171.94,78.94,0.487,0.558,1905619,105.08,91.13,61.4,-2.56,628,32.96,1
Cross River,12.8167,9.8651,2019-02-01,2019,2,21.02,258.55,62.89,0.308,0.351,2239415,94.42,60.82,27.3,0.43,485,21.66,0
Cross River,5.3649,11.7343,2021-06-01,2021,6,29.9,348.59,70.13,0.611,0.282,2411632,117.75,47.74,46.43,-0.72,650,26.95,1
Lagos,9.2575,7.167,2021-02-01,2021,2,34.77,75.38,64.81,0.95,0.783,2130154,105.11,52.9,72.72,1.51,553,25.96,1
Oyo,5.7797,12.993,2019-08-01,2019,8,22.66,256.98,76.81,0.947,0.459,280203,97.39,60.7,27.49,0.31,555,198.07,1
Akwa Ibom,11.2172,13.278,2022-03-01,2022,3,27.73,188.12,75.56,0.714,0.162,368408,108.76,82.94,29.07,0.99,536,145.49,1
